han,pinyin
墙倒众人推,qiáng dǎo zhòng rén tuī
莫须有,mò xū yǒu
拿鸡毛当令箭,ná jī máo dāng lìng jiàn
捅破窗户纸,tǒng pò chuāng hu zhǐ
三字经,sān zì jīng
苍蝇不叮无缝的蛋,cāng ying bù dīng wú fèng de dàn
大跌眼镜,dà diē yǎn jìng
说一千道一万,shuō yì qiān dào yí wàn
绊脚石,bàn jiǎo shí
过五关斩六将,guò wǔ guān zhǎn liù jiàng
求爷爷告奶奶,qiú yé ye gào nǎi nai
羡慕嫉妒恨,xiàn mù jí dù hèn
打掉门牙往肚里咽,dǎ diào mén yá wǎng dù lǐ yàn
唱对台戏,chàng duì tái xì
分一杯羹,fēn yì bēi gēng
变色龙,biàn sè lóng
独木不成林,dú mù bù chéng lín
既生瑜何生亮,jì shēng yú hé shēng liàng
撂挑子,liào tiǎo zi
敲门砖,qiāo mén zhuān
试金石,shì jīn shí
火烧眉毛,huǒ shāo méi mao
空手套白狼,kōng shǒu tào bái láng
一瓶子不满半瓶子晃荡,yì píng zi bù mǎn bàn píng zi huàng dang
脱了裤子放屁,tuō le kù zi fàng pì
借东风,jiè dōng fēng
白开水,bái kāi shuǐ
鲤鱼跳龙门,lǐ yú tiào lóng mén
强龙压不住地头蛇,qiáng lóng yā bú zhù dì tóu shé
这山望着那山高,zhè shān wàng zhe nà shān gāo
光脚的不怕穿鞋的,guāng jiǎo de bú pà chuān xié de
不成功便成仁,bù chéng gōng biàn chéng rén
滚刀肉,gǔn dāo ròu
久病成良医,jiǔ bìng chéng liáng yī
枕边风,zhěn biān fēng
一锤子买卖,yì chuí zi mǎi mài
横挑鼻子竖挑眼,héng tiāo bí zi shù tiāo yǎn
唱空城计,chàng kōng chéng jì
一刀切,yì dāo qiē
旧瓶装新酒,jiù píng zhuāng xīn jiǔ
两面三刀,liǎng miàn sān dāo
一把钥匙开一把锁,yì bǎ yào shi kāi yì bǎ suǒ
打一巴掌给个甜枣,dǎ yì bā zhang gěi gè tián zǎo
先君子后小人,xiān jūn zǐ hòu xiǎo rén
尺有所短寸有所长,chǐ yǒu suǒ duǎn cùn yǒu suǒ cháng
出来混的总要还的,chū lai hùn de zǒng yào huán de
画虎不成反类犬,huà hǔ bù chéng fǎn lèi quǎn
大意失荆州,dà yì shī jīng zhōu
卸磨杀驴,xiè mò shā lǘ
躺着都中枪,tǎng zhe dōu zhòng qiāng
脚正不怕鞋歪,jiǎo zhèng bú pà xié wāi
有奶就是娘,yǒu nǎi jiù shì niáng
肉烂在锅里,ròu làn zài guō lǐ
说你胖你就喘,shuō nǐ pàng nǐ jiù chuǎn
擦屁股,cā pì gu
皇帝女儿不愁嫁,huáng dì nǚ ér bù chóu jià
一朝天子一朝臣,yì zhāo tiān zǐ yì zhāo chén
活人让尿憋死,huó rén ràng niào biē sǐ
走马灯,zǒu mǎ dēng
花无百日红,huā wú bǎi rì hóng
东风压倒西风,dōng fēng yā dǎo xī fēng
岁月是把杀猪刀,suì yuè shì bǎ shā zhū dāo
丁是丁卯是卯,dīng shì dīng mǎo shì mǎo
多年的媳妇熬成婆,duō nián de xí fù áo chéng pó
强将手下无弱兵,qiáng jiàng shǒu xià wú ruò bīng
头痛医头脚痛医脚,tóu tòng yī tóu jiǎo tòng yī jiǎo
拉不出屎来怨茅房,lā bù chū shǐ lái yuàn máo fáng
东方不亮西方亮,dōng fāng bú liàng xī fāng liàng
老牛拉破车,lǎo niú lā pò chē
放卫星,fàng wèi xīng
鸡同鸭讲,jī tóng yā jiǎng
一锅端,yì guō duān
老皇历,lǎo huáng lì
家花没有野花香,jiā huā méi yǒu yě huā xiāng
又想当婊子又想立牌坊,yòu xiǎng dāng biǎo zi yòu xiǎng lì pái fāng
遮羞布,zhē xiū bù
耍花枪,shuǎ huā qiāng
又要马儿跑又要马儿不吃草,yòu yào mǎ r pǎo yòu yào mǎ r bù chī cǎo
牛不喝水强按头,niú bù hē shuǐ qiáng àn tóu
摆乌龙,bǎi wū lóng
各打五十大板,gè dǎ wǔ shí dà bǎn
一个将军一个令,yí gè jiāng jūn yí gè lì
抱大腿,bào dà tuǐ
砸了锅,zá le guō
会哭的孩子有奶吃,huì kū de hái zi yǒu nǎi chī
二一添作五,èr yī tiān zuò wǔ
风一阵雨一阵,fēng yí zhèn yǔ yí zhèn
剃头挑子一头热,tì tóu tiǎo zi yì tóu rè
远来的和尚会念经,yuǎn lái de hé shang huì niàn jīng
揪辫子,jiū biàn zi
小姐的身子丫鬟的命,xiǎo jiě de shēn zi yā huan de mìng
只见树木不见森林,zhǐ jiàn shù mù bú jiàn sēn lín
